"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 13:45:00 - 10/05/2026 14:00:00","BZN|DE-LU","Biomass","3910.89"
"10/05/2026 14:00:00 - 10/05/2026 14:15:00","BZN|DE-LU","Biomass","3891.60"
"10/05/2026 14:15:00 - 10/05/2026 14:30:00","BZN|DE-LU","Biomass","3900.88"
"10/05/2026 14:30:00 - 10/05/2026 14:45:00","BZN|DE-LU","Biomass","3919.15"
"10/05/2026 14:45:00 - 10/05/2026 15:00:00","BZN|DE-LU","Biomass","3922.06"
"10/05/2026 15:00:00 - 10/05/2026 15:15:00","BZN|DE-LU","Biomass","3929.76"
"10/05/2026 15:15:00 - 10/05/2026 15:30:00","BZN|DE-LU","Biomass","3946.39"
"10/05/2026 15:30:00 - 10/05/2026 15:45:00","BZN|DE-LU","Biomass","3954.39"
"10/05/2026 15:45:00 - 10/05/2026 16:00:00","BZN|DE-LU","Biomass","3968.12"
"10/05/2026 16:00:00 - 10/05/2026 16:15:00","BZN|DE-LU","Biomass","4030.95"
"10/05/2026 16:15:00 - 10/05/2026 16:30:00","BZN|DE-LU","Biomass","4070.24"
"10/05/2026 16:30:00 - 10/05/2026 16:45:00","BZN|DE-LU","Biomass","4098.15"
"10/05/2026 16:45:00 - 10/05/2026 17:00:00","BZN|DE-LU","Biomass","4117.64"
"10/05/2026 17:00:00 - 10/05/2026 17:15:00","BZN|DE-LU","Biomass","4186.83"
"10/05/2026 17:15:00 - 10/05/2026 17:30:00","BZN|DE-LU","Biomass","4215.05"
"10/05/2026 17:30:00 - 10/05/2026 17:45:00","BZN|DE-LU","Biomass","4252.88"
"10/05/2026 17:45:00 - 10/05/2026 18:00:00","BZN|DE-LU","Biomass","4299.83"
"10/05/2026 18:00:00 - 10/05/2026 18:15:00","BZN|DE-LU","Biomass","4374.41"
"10/05/2026 18:15:00 - 10/05/2026 18:30:00","BZN|DE-LU","Biomass","4414.78"
"10/05/2026 18:30:00 - 10/05/2026 18:45:00","BZN|DE-LU","Biomass","4452.23"
"10/05/2026 18:45:00 - 10/05/2026 19:00:00","BZN|DE-LU","Biomass","4480.34"
"10/05/2026 19:00:00 - 10/05/2026 19:15:00","BZN|DE-LU","Biomass","4502.66"
"10/05/2026 19:15:00 - 10/05/2026 19:30:00","BZN|DE-LU","Biomass","4526.72"
"10/05/2026 19:30:00 - 10/05/2026 19:45:00","BZN|DE-LU","Biomass","4530.59"
"10/05/2026 19:45:00 - 10/05/2026 20:00:00","BZN|DE-LU","Biomass","4547.82"
"10/05/2026 20:00:00 - 10/05/2026 20:15:00","BZN|DE-LU","Biomass","4540.92"
"10/05/2026 20:15:00 - 10/05/2026 20:30:00","BZN|DE-LU","Biomass","4541.54"
"10/05/2026 20:30:00 - 10/05/2026 20:45:00","BZN|DE-LU","Biomass","4543.91"
"10/05/2026 20:45:00 - 10/05/2026 21:00:00","BZN|DE-LU","Biomass","4551.56"
"10/05/2026 21:00:00 - 10/05/2026 21:15:00","BZN|DE-LU","Biomass","4520.51"
"10/05/2026 21:15:00 - 10/05/2026 21:30:00","BZN|DE-LU","Biomass","4507.16"
"10/05/2026 21:30:00 - 10/05/2026 21:45:00","BZN|DE-LU","Biomass","4486.83"
"10/05/2026 21:45:00 - 10/05/2026 22:00:00","BZN|DE-LU","Biomass","4476.70"
"10/05/2026 22:00:00 - 10/05/2026 22:15:00","BZN|DE-LU","Biomass","4413.55"
"10/05/2026 22:15:00 - 10/05/2026 22:30:00","BZN|DE-LU","Biomass","4397.20"
