,cost_eur
Lignite,9696110.96475001
HardCoal,0.0
CoalGas,2375949.0381249916
Gas_CCGT,7819006.012567737
Gas_Peak,-2.581487024144735e-09
Oil,-3.101304284040818e-07
Biomass,2382914.334373124
Waste,909336.8586687456
HydroRes,368077.7087000165
